zip,lat,lng,population
30236,33.52157,-84.32405,53224
19711,39.71379,-75.74033,53194
92870,33.88087,-117.85522,53194
12180,42.7516,-73.59997,53181
77546,29.5132,-95.19352,53148
92056,33.20197,-117.28939,53124
29464,32.82082,-79.85583,53119
75115,32.59831,-96.86433,53118
93277,36.29963,-119.38139,53114
94601,37.77684,-122.21822,53104
37421,35.02915,-85.153,53050
11758,40.65361,-73.45626,53034
17601,40.07296,-76.31457,53023
10950,41.31919,-74.19825,53013
32839,28.48833,-81.40689,53012
85710,32.21439,-110.82365,53002
60622,41.90267,-87.68355,52957
77498,29.64224,-95.65244,52950
10016,40.74515,-73.97807,52912
29223,34.09243,-80.92153,52895
33175,25.73435,-80.40621,52885
33178,25.83578,-80.4213,52885
1960,42.53374,-70.97222,52880
83686,43.49643,-116.61207,52879
45069,39.34213,-84.4105,52863
77082,29.72383,-95.6414,52830
92078,33.11834,-117.18554,52810
95648,38.92643,-121.31101,52777
20902,39.04381,-77.0421,52752
37040,36.52408,-87.33287,52736
80538,40.48174,-105.16825,52708
33068,26.21644,-80.21535,52691
98391,47.17654,-122.17362,52686
32792,28.61066,-81.29923,52670
30721,34.79168,-84.91187,52658
94550,37.51746,-121.59406,52617
19140,40.01224,-75.14512,52608
6810,41.37627,-73.45904,52578
60616,41.84502,-87.62745,52557
45044,39.45028,-84.37988,52554
92833,33.88051,-117.96112,52537
36695,30.6309,-88.27775,52524
19067,40.19595,-74.80976,52519
98632,46.21223,-123.06855,52489
97402,44.05193,-123.23022,52481
19104,39.95891,-75.19836,52480
90018,34.0286,-118.31737,52444
60440,41.70125,-88.07572,52440
11354,40.7686,-73.82743,52351
91605,34.20699,-118.40067,52345
98270,48.05952,-122.1443,52307
